"service_id","date","exception_type"
"GO401_120000424","20120720","1"
"GO401_120000424","20120723","1"
"GO401_120000424","20120724","1"
"GO401_120000424","20120726","1"
"GO401_120000424","20120727","1"
"GO401_120000424","20120730","1"
"GO401_120000424","20120731","1"
"GO401_120000424","20120801","1"
"GO401_120000424","20120802","1"
"GO401_120000424","20120803","1"
"GO401_120000424","20120806","1"
"GO401_120000424","20120807","1"
"GO401_120000424","20120808","1"
"GO401_120000424","20120810","1"
"GO401_120000424","20120813","1"
"GO401_120000424","20120814","1"
"GO401_120000424","20120815","1"
"GO401_120000424","20120816","1"
"GO401_120000424","20120817","1"
"GO401_120000424","20120820","1"
"GO401_120000424","20120821","1"
"GO401_120000424","20120822","1"
"GO401_120000424","20120824","1"
"GO401_120000424","20120827","1"
"GO401_120000424","20120828","1"
"GO401_120000424","20120829","1"
"GO401_120000424","20120830","1"
"GO401_120000424","20120831","1"
"GO401_120000426","20120514","1"
"GO401_120000426","20120515","1"
"GO401_120000426","20120516","1"
"GO401_120000426","20120518","1"
"GO401_120000426","20120521","1"
"GO401_120000426","20120522","1"
"GO401_120000426","20120523","1"
"GO401_120000426","20120524","1"
"GO401_120000426","20120525","1"
"GO401_120000426","20120529","1"
"GO401_120000426","20120530","1"
"GO401_120000426","20120531","1"
"GO401_120000426","20120601","1"
"GO401_120000426","20120605","1"
"GO401_120000426","20120606","1"
"GO401_120000426","20120607","1"
"GO401_120000426","20120608","1"
"GO401_120000426","20120611","1"
"GO401_120000426","20120612","1"
"GO401_120000426","20120613","1"
"GO401_120000426","20120614","1"
"GO401_120000426","20120615","1"
"GO401_120000426","20120618","1"
"GO401_120000426","20120619","1"
"GO401_120000426","20120620","1"
"GO401_120000426","20120621","1"
"GO401_120000426","20120622","1"
"GO401_120000426","20120625","1"
"GO401_120000426","20120626","1"
"GO401_120000426","20120627","1"
"GO401_120000426","20120628","1"
"GO401_120000426","20120629","1"
"GO401_120000426","20120702","1"
"GO401_120000426","20120703","1"
"GO401_120000426","20120705","1"
"GO401_120000426","20120706","1"
"GO401_120000426","20120709","1"
"GO401_120000426","20120710","1"
"GO401_120000426","20120711","1"
"GO401_120000426","20120712","1"
"GO401_120000426","20120713","1"
"GO401_120000426","20120716","1"
"GO401_120000426","20120717","1"
"GO401_120000426","20120718","1"
"GO401_120000426","20120719","1"
"GO401_120000426","20120720","1"
"GO401_120000426","20120723","1"
"GO401_120000426","20120724","1"
"GO401_120000426","20120726","1"
"GO401_120000426","20120727","1"
"GO401_120000426","20120730","1"
"GO401_120000426","20120731","1"
"GO401_120000426","20120801","1"
"GO401_120000426","20120802","1"
"GO401_120000426","20120803","1"
"GO401_120000426","20120806","1"
"GO401_120000426","20120807","1"
"GO401_120000426","20120808","1"
"GO401_120000426","20120810","1"
"GO401_120000426","20120813","1"
"GO401_120000426","20120814","1"
"GO401_120000426","20120815","1"
"GO401_120000426","20120816","1"
"GO401_120000426","20120817","1"
"GO401_120000426","20120820","1"
"GO401_120000426","20120821","1"
"GO401_120000426","20120822","1"
"GO401_120000426","20120824","1"
"GO401_120000426","20120827","1"
"GO401_120000426","20120828","1"
"GO401_120000426","20120829","1"
"GO401_120000426","20120830","1"
"GO401_120000426","20120831","1"
"GO401_120000428","20120514","1"
"GO401_120000428","20120515","1"
"GO401_120000428","20120516","1"
"GO401_120000428","20120518","1"
"GO401_120000428","20120521","1"
"GO401_120000428","20120522","1"
"GO401_120000428","20120523","1"
"GO401_120000428","20120524","1"
"GO401_120000428","20120525","1"
"GO401_120000428","20120529","1"
"GO401_120000428","20120530","1"
"GO401_120000428","20120531","1"
"GO401_120000428","20120601","1"
"GO401_120000428","20120605","1"
"GO401_120000428","20120606","1"
"GO401_120000428","20120607","1"
"GO401_120000428","20120608","1"
"GO401_120000428","20120611","1"
"GO401_120000428","20120612","1"
"GO401_120000428","20120613","1"
"GO401_120000428","20120614","1"
"GO401_120000428","20120615","1"
"GO401_120000428","20120618","1"
"GO401_120000428","20120619","1"
"GO401_120000428","20120620","1"
"GO401_120000428","20120621","1"
"GO401_120000428","20120622","1"
"GO401_120000428","20120625","1"
"GO401_120000428","20120626","1"
"GO401_120000428","20120627","1"
"GO401_120000428","20120628","1"
"GO401_120000428","20120629","1"
"GO401_120000428","20120702","1"
"GO401_120000428","20120703","1"
"GO401_120000428","20120705","1"
"GO401_120000428","20120706","1"
"GO401_120000428","20120709","1"
"GO401_120000428","20120710","1"
"GO401_120000428","20120711","1"
"GO401_120000428","20120712","1"
"GO401_120000428","20120713","1"
"GO401_120000428","20120716","1"
"GO401_120000428","20120717","1"
"GO401_120000428","20120718","1"
"GO401_120000428","20120719","1"
"GO401_120000428","20120720","1"
"GO401_120000428","20120723","1"
"GO401_120000428","20120724","1"
"GO401_120000428","20120726","1"
"GO401_120000428","20120727","1"
"GO401_120000428","20120730","1"
"GO401_120000428","20120731","1"
"GO401_120000428","20120801","1"
"GO401_120000428","20120802","1"
"GO401_120000428","20120803","1"
"GO401_120000428","20120806","1"
"GO401_120000428","20120807","1"
"GO401_120000428","20120808","1"
"GO401_120000428","20120810","1"
"GO401_120000428","20120813","1"
"GO401_120000428","20120814","1"
"GO401_120000428","20120815","1"
"GO401_120000428","20120816","1"
"GO401_120000428","20120817","1"
"GO401_120000428","20120820","1"
"GO401_120000428","20120821","1"
"GO401_120000428","20120822","1"
"GO401_120000428","20120824","1"
"GO401_120000428","20120827","1"
"GO401_120000428","20120828","1"
"GO401_120000428","20120829","1"
"GO401_120000428","20120830","1"
"GO401_120000428","20120831","1"
"GO401_120000430","20120514","1"
"GO401_120000430","20120515","1"
"GO401_120000430","20120516","1"
"GO401_120000430","20120518","1"
"GO401_120000430","20120521","1"
"GO401_120000430","20120522","1"
"GO401_120000430","20120523","1"
"GO401_120000430","20120524","1"
"GO401_120000430","20120525","1"
"GO401_120000430","20120529","1"
"GO401_120000430","20120530","1"
"GO401_120000430","20120531","1"
"GO401_120000430","20120601","1"
"GO401_120000430","20120605","1"
"GO401_120000430","20120606","1"
"GO401_120000430","20120607","1"
"GO401_120000430","20120608","1"
"GO401_120000430","20120611","1"
"GO401_120000430","20120612","1"
"GO401_120000430","20120613","1"
"GO401_120000430","20120614","1"
"GO401_120000430","20120615","1"
"GO401_120000430","20120618","1"
"GO401_120000430","20120619","1"
"GO401_120000430","20120620","1"
"GO401_120000430","20120621","1"
"GO401_120000430","20120622","1"
